;pais;anos;quantidade;valor;origem;tipo
0;África do Sul;2009;0;0;Brasil;Espumantes
1;Alemanha;2009;6648;29018;Brasil;Espumantes
2;Angola;2009;11393;33664;Brasil;Espumantes
3;Antigua e Barbuda;2009;0;0;Brasil;Espumantes
4;Antilhas Holandesas;2009;180;1660;Brasil;Espumantes
5;Argentina;2009;0;0;Brasil;Espumantes
6;Aruba;2009;0;0;Brasil;Espumantes
7;Australia;2009;0;0;Brasil;Espumantes
8;Bahamas;2009;0;0;Brasil;Espumantes
9;Bangladesh;2009;0;0;Brasil;Espumantes
10;Barbados;2009;0;0;Brasil;Espumantes
11;Belgica;2009;0;0;Brasil;Espumantes
12;Benin;2009;0;0;Brasil;Espumantes
13;Bermudas;2009;0;0;Brasil;Espumantes
14;Bolívia;2009;0;0;Brasil;Espumantes
15;Bósnia-Herzegovina;2009;0;0;Brasil;Espumantes
16;Bulgaria;2009;0;0;Brasil;Espumantes
17;Cabo Verde;2009;0;0;Brasil;Espumantes
18;Camarões;2009;0;0;Brasil;Espumantes
19;Canada;2009;0;0;Brasil;Espumantes
20;Catar;2009;0;0;Brasil;Espumantes
21;Cayman, Ilhas;2009;0;0;Brasil;Espumantes
22;Chile;2009;1673;8613;Brasil;Espumantes
23;China;2009;0;0;Brasil;Espumantes
24;Chipre;2009;0;0;Brasil;Espumantes
25;Cingapura;2009;976;2784;Brasil;Espumantes
26;Colombia;2009;0;0;Brasil;Espumantes
27;Coreia do Sul, Republica da;2009;0;0;Brasil;Espumantes
28;Costa Rica;2009;0;0;Brasil;Espumantes
29;Cuba;2009;0;0;Brasil;Espumantes
30;Curaçao;2009;0;0;Brasil;Espumantes
31;Dinamarca;2009;0;0;Brasil;Espumantes
32;Dominica;2009;0;0;Brasil;Espumantes
33;El Salvador;2009;0;0;Brasil;Espumantes
34;Emirados Arabes Unidos;2009;0;0;Brasil;Espumantes
35;Equador;2009;0;0;Brasil;Espumantes
36;Espanha;2009;0;0;Brasil;Espumantes
37;Estados Unidos;2009;35695;200975;Brasil;Espumantes
38;Estonia;2009;0;0;Brasil;Espumantes
39;Falkland (Malvinas);2009;0;0;Brasil;Espumantes
40;Filipinas;2009;0;0;Brasil;Espumantes
41;Filânldia;2009;0;0;Brasil;Espumantes
42;França;2009;0;0;Brasil;Espumantes
43;Gana;2009;0;0;Brasil;Espumantes
44;Gibraltar;2009;0;0;Brasil;Espumantes
45;Granada;2009;0;0;Brasil;Espumantes
46;Grécia;2009;0;0;Brasil;Espumantes
47;Guatemala;2009;0;0;Brasil;Espumantes
48;Guiana;2009;0;0;Brasil;Espumantes
49;Guiné Equatorial;2009;0;0;Brasil;Espumantes
50;Guiné-Bissau;2009;0;0;Brasil;Espumantes
51;Haiti;2009;0;0;Brasil;Espumantes
52;Honduras;2009;0;0;Brasil;Espumantes
53;Hong Kong;2009;120;505;Brasil;Espumantes
54;Hungria;2009;0;0;Brasil;Espumantes
55;Ilha de Man;2009;0;0;Brasil;Espumantes
56;Índia;2009;0;0;Brasil;Espumantes
57;Iraque;2009;0;0;Brasil;Espumantes
58;Irlanda;2009;0;0;Brasil;Espumantes
59;Islândia;2009;0;0;Brasil;Espumantes
60;Itália;2009;2369;6590;Brasil;Espumantes
61;Japão;2009;2900;8650;Brasil;Espumantes
62;Jordânia;2009;0;0;Brasil;Espumantes
63;Letônia;2009;0;0;Brasil;Espumantes
64;Líbano;2009;0;0;Brasil;Espumantes
65;Libéria;2009;0;0;Brasil;Espumantes
66;Luxemburgo;2009;993;3963;Brasil;Espumantes
67;Maldivas;2009;0;0;Brasil;Espumantes
68;Malta;2009;0;0;Brasil;Espumantes
69;Marshall, Ilhas;2009;0;0;Brasil;Espumantes
70;Montenegro;2009;0;0;Brasil;Espumantes
71;México;2009;0;0;Brasil;Espumantes
72;Nicarágua;2009;0;0;Brasil;Espumantes
73;Nigéria;2009;0;0;Brasil;Espumantes
74;Noruega;2009;0;0;Brasil;Espumantes
75;Nova Zelândia;2009;0;0;Brasil;Espumantes
76;Países Baixos (Holanda);2009;2250;11276;Brasil;Espumantes
77;Panamá;2009;0;0;Brasil;Espumantes
78;Paraguai;2009;20099;18376;Brasil;Espumantes
79;Peru;2009;0;0;Brasil;Espumantes
