;pais;anos;quantidade;valor;origem;tipo
0;África do Sul;2009;0;0;Brasil;Suco de Uva
1;Alemanha, República Democrática da;2009;0;0;Brasil;Suco de Uva
2;Angola;2009;237494;191270;Brasil;Suco de Uva
3;Antígua e Barbuda;2009;0;0;Brasil;Suco de Uva
4;Antilhas Holandesas;2009;0;0;Brasil;Suco de Uva
5;Arábia Saudita;2009;48760;124520;Brasil;Suco de Uva
6;Argélia;2009;0;0;Brasil;Suco de Uva
7;Argentina;2009;1260;6979;Brasil;Suco de Uva
8;Aruba;2009;5008;3270;Brasil;Suco de Uva
9;Austrália;2009;0;0;Brasil;Suco de Uva
10;Áustria;2009;0;0;Brasil;Suco de Uva
11;Bahamas;2009;0;0;Brasil;Suco de Uva
12;Bangladesh;2009;0;0;Brasil;Suco de Uva
13;Barbados;2009;2806;2314;Brasil;Suco de Uva
14;Barein;2009;0;0;Brasil;Suco de Uva
15;Bélgica;2009;0;0;Brasil;Suco de Uva
16;Belize;2009;0;0;Brasil;Suco de Uva
17;Benin;2009;0;0;Brasil;Suco de Uva
18;Bermudas;2009;0;0;Brasil;Suco de Uva
19;Birmânia;2009;0;0;Brasil;Suco de Uva
20;Bolívia;2009;0;0;Brasil;Suco de Uva
21;Cabo Verde;2009;0;0;Brasil;Suco de Uva
22;Camarões;2009;0;0;Brasil;Suco de Uva
23;Canadá;2009;0;0;Brasil;Suco de Uva
24;Catar;2009;0;0;Brasil;Suco de Uva
25;Cayman, Ilhas;2009;0;0;Brasil;Suco de Uva
26;Chile;2009;0;0;Brasil;Suco de Uva
27;China;2009;0;0;Brasil;Suco de Uva
28;Chipre;2009;0;0;Brasil;Suco de Uva
29;Cingapura;2009;0;0;Brasil;Suco de Uva
30;Colômbia;2009;0;0;Brasil;Suco de Uva
31;Congo;2009;0;0;Brasil;Suco de Uva
32;Coreia do Sul;2009;0;0;Brasil;Suco de Uva
33;Costa do Marfim;2009;0;0;Brasil;Suco de Uva
34;Costa Rica;2009;0;0;Brasil;Suco de Uva
35;Coveite;2009;0;0;Brasil;Suco de Uva
36;Cuba;2009;0;0;Brasil;Suco de Uva
37;Curaçao;2009;0;0;Brasil;Suco de Uva
38;Dinamarca;2009;74200;184388;Brasil;Suco de Uva
39;Dominica, Ilha de;2009;0;0;Brasil;Suco de Uva
40;El Salvador;2009;0;0;Brasil;Suco de Uva
41;Emirados Árabes Unidos;2009;0;0;Brasil;Suco de Uva
42;Equador;2009;0;0;Brasil;Suco de Uva
43;Espanha;2009;0;0;Brasil;Suco de Uva
44;Estados Unidos;2009;985916;2002894;Brasil;Suco de Uva
45;Falkland (Malvinas);2009;0;0;Brasil;Suco de Uva
46;Filipinas;2009;0;0;Brasil;Suco de Uva
47;Finlândia;2009;0;0;Brasil;Suco de Uva
48;França;2009;0;0;Brasil;Suco de Uva
49;Gana;2009;0;0;Brasil;Suco de Uva
50;Gibraltar;2009;0;0;Brasil;Suco de Uva
51;Granada;2009;0;0;Brasil;Suco de Uva
52;Grécia;2009;0;0;Brasil;Suco de Uva
53;Guatemala;2009;1800;2850;Brasil;Suco de Uva
54;Guiana;2009;0;0;Brasil;Suco de Uva
55;Guiana Francesa;2009;0;0;Brasil;Suco de Uva
56;Guiné Bissau;2009;0;0;Brasil;Suco de Uva
57;Guine Equatorial;2009;0;0;Brasil;Suco de Uva
58;Haiti;2009;0;0;Brasil;Suco de Uva
59;Hong Kong;2009;0;0;Brasil;Suco de Uva
60;Hungria;2009;0;0;Brasil;Suco de Uva
61;Ilha de Man;2009;0;0;Brasil;Suco de Uva
62;India;2009;0;0;Brasil;Suco de Uva
63;Indonésia;2009;0;0;Brasil;Suco de Uva
64;Irã;2009;0;0;Brasil;Suco de Uva
65;Iraque;2009;0;0;Brasil;Suco de Uva
66;Irlanda;2009;0;0;Brasil;Suco de Uva
67;Israel;2009;18550;46097;Brasil;Suco de Uva
68;Itália;2009;37500;88201;Brasil;Suco de Uva
69;Iugoslâvia;2009;0;0;Brasil;Suco de Uva
70;Jamaica;2009;0;0;Brasil;Suco de Uva
71;Japão;2009;4003555;8938827;Brasil;Suco de Uva
72;Líbano;2009;0;0;Brasil;Suco de Uva
73;Libéria;2009;0;0;Brasil;Suco de Uva
74;Líbia;2009;0;0;Brasil;Suco de Uva
75;Luxemburgo;2009;0;0;Brasil;Suco de Uva
76;Malásia;2009;18550;44520;Brasil;Suco de Uva
77;Malta;2009;0;0;Brasil;Suco de Uva
78;Marshall, Ilhas;2009;0;0;Brasil;Suco de Uva
79;Mauritânia;2009;0;0;Brasil;Suco de Uva
80;México;2009;18550;48230;Brasil;Suco de Uva
81;Moçambique;2009;0;0;Brasil;Suco de Uva
82;Mônaco;2009;0;0;Brasil;Suco de Uva
83;Montenegro;2009;0;0;Brasil;Suco de Uva
84;Namíbia;2009;0;0;Brasil;Suco de Uva
85;Nigéria;2009;0;0;Brasil;Suco de Uva
86;Noruega;2009;0;0;Brasil;Suco de Uva
87;Nova Caledônia;2009;0;0;Brasil;Suco de Uva
88;Nova Zelândia;2009;0;0;Brasil;Suco de Uva
89;Países Baixos;2009;0;0;Brasil;Suco de Uva
90;Panamá;2009;0;0;Brasil;Suco de Uva
91;Paquistão;2009;0;0;Brasil;Suco de Uva
92;Paraguai;2009;11683;23404;Brasil;Suco de Uva
93;Peru;2009;7950;19478;Brasil;Suco de Uva
