     ;pais                            ;anos ;quantidade ;valor      ;origem ;tipo
   0 ;Africa do Sul                   ;2009 ;   15300.0 ;   32130.0 ;Brasil ;Uvas Frescas
   1 ;Alemanha, República Democrática ;2009 ;  759594.0 ; 1475757.0 ;Brasil ;Uvas Frescas
   2 ;Angola                          ;2009 ;   29700.0 ;  110058.0 ;Brasil ;Uvas Frescas
   3 ;Antígua e Barbuda               ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
   4 ;Arabia Saudita                  ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
   5 ;Argélia                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
   6 ;Argentina                       ;2009 ;  414008.0 ;  929225.0 ;Brasil ;Uvas Frescas
   7 ;Áustria                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
   8 ;Bahamas                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
   9 ;Bahrein                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  10 ;Bangladesh                      ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  11 ;Barbados                        ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  12 ;Barein                          ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  13 ;Bélgica                         ;2009 ; 1507559.0 ; 3229623.0 ;Brasil ;Uvas Frescas
  14 ;Belize                          ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  15 ;Bermudas                        ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  16 ;Bolívia                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  17 ;Bósnia                          ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  18 ;Brasil                          ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  19 ;Bulgária                        ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  20 ;Burquina Faso                   ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  21 ;Cabo Verde                      ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  22 ;Camarões                        ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  23 ;Camores                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  24 ;Canadá                          ;2009 ;  688878.0 ; 2324716.0 ;Brasil ;Uvas Frescas
  25 ;Catar                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  26 ;Cayman, Ilhas                   ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  27 ;Chile                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  28 ;China                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  29 ;Chipre                          ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  30 ;Cingapura                       ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  31 ;Cocos (Keeling), Ilhas          ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  32 ;Cook, Ilhas                     ;2009 ;           ;           ;Brasil ;Uvas Frescas
  33 ;Colômbia                        ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  34 ;Congo                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  35 ;Coreia do Norte                 ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  36 ;Coreia do Sul                   ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  37 ;Costa do Marfim                 ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  38 ;Coveite                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  39 ;Croácia                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  40 ;Curaçao                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  41 ;Dinamarca                       ;2009 ;  251800.0 ;  692757.0 ;Brasil ;Uvas Frescas
  42 ;Djibuti                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  43 ;Egito                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  44 ;Emirados Árabes Unidos          ;2009 ;   16728.0 ;   33861.0 ;Brasil ;Uvas Frescas
  45 ;Eslovênia                       ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  46 ;Espanha                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  47 ;Estados Unidos                  ;2009 ;12444690.0 ;22745590.0 ;Brasil ;Uvas Frescas
  48 ;Falkland (Ilhas Malvinas)       ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  49 ;Faroé, Ilhas                    ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  50 ;Filipinas                       ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  51 ;Finlândia                       ;2009 ;   58825.0 ;  161700.0 ;Brasil ;Uvas Frescas
  52 ;França                          ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  53 ;Gabão                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
  54 ;Gana                            ;2009 ;       0.0 ;       0.0 ;Brasil ;Uvas Frescas
