     ;pais                            ;anos ;quantidade ;valor    ;origem ;tipo
   0 ;Afeganistão                     ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
   1 ;África do Sul                   ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
   2 ;Alemanha, República Democrática ;2009 ;    225086 ;  393482 ;Brasil ;Vinhos de Mesa
   3 ;Angola                          ;2009 ;     54786 ;   84235 ;Brasil ;Vinhos de Mesa
   4 ;Anguilla                        ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
   5 ;Antígua e Barbuda               ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
   6 ;Antilhas Holandesas             ;2009 ;      8235 ;   10651 ;Brasil ;Vinhos de Mesa
   7 ;Arábia Saudita                  ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
   8 ;Argentina                       ;2009 ;       162 ;    4523 ;Brasil ;Vinhos de Mesa
   9 ;Aruba                           ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  10 ;Austrália                       ;2009 ;      1014 ;    9195 ;Brasil ;Vinhos de Mesa
  11 ;Áustria                         ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  12 ;Bahamas                         ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  13 ;Bangladesh                      ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  14 ;Barbados                        ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  15 ;Barein                          ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  16 ;Bélgica                         ;2009 ;    125962 ;   58764 ;Brasil ;Vinhos de Mesa
  17 ;Belice                          ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  18 ;Benin                           ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  19 ;Bermudas                        ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  20 ;Bolívia                         ;2009 ;     40463 ;   20729 ;Brasil ;Vinhos de Mesa
  21 ;Bósnia-Herzegovina              ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  22 ;Brasil                          ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  23 ;Bulgária                        ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  24 ;Cabo Verde                      ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  25 ;Camarões                        ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  26 ;Canadá                          ;2009 ;     15664 ;   73445 ;Brasil ;Vinhos de Mesa
  27 ;Catar                           ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  28 ;Cayman, Ilhas                   ;2009 ;         0 ;       0 ;Brasil ;Vinhos de Mesa
  29 ;Chile                           ;2009 ;      1475 ;    4297 ;Brasil ;Vinhos de Mesa
