;pais;anos;quantidade;valor;origem;tipo
0;Afeganistao;2009;0;0;Brasil;Vinhos de Mesa
1;Africa do Sul;2009;0;0;Brasil;Vinhos de Mesa
2;Alemanha;2009;225086;393482;Brasil;Vinhos de Mesa
3;Angola;2009;54786;84235;Brasil;Vinhos de Mesa
4;Anguilla;2009;0;0;Brasil;Vinhos de Mesa
5;Antigua e Barbuda;2009;0;0;Brasil;Vinhos de Mesa
6;Antilhas Holandesas;2009;8235;10651;Brasil;Vinhos de Mesa
7;Arabia Saudita;2009;0;0;Brasil;Vinhos de Mesa
8;Argentina;2009;162;4523;Brasil;Vinhos de Mesa
9;Aruba;2009;0;0;Brasil;Vinhos de Mesa
10;Australia;2009;1014;9195;Brasil;Vinhos de Mesa
11;Austria;2009;0;0;Brasil;Vinhos de Mesa
12;Bahamas;2009;0;0;Brasil;Vinhos de Mesa
13;Bangladesh;2009;0;0;Brasil;Vinhos de Mesa
14;Barbados;2009;0;0;Brasil;Vinhos de Mesa
15;Barein;2009;0;0;Brasil;Vinhos de Mesa
16;Belgica;2009;125962;58764;Brasil;Vinhos de Mesa
17;Belice;2009;0;0;Brasil;Vinhos de Mesa
18;Benin;2009;0;0;Brasil;Vinhos de Mesa
19;Bermudas;2009;0;0;Brasil;Vinhos de Mesa
20;Bolivia;2009;40463;20729;Brasil;Vinhos de Mesa
21;Bosnia-Herzegovina;2009;0;0;Brasil;Vinhos de Mesa
22;Brasil;2009;0;0;Brasil;Vinhos de Mesa
23;Bulgaria;2009;0;0;Brasil;Vinhos de Mesa
24;Cabo Verde;2009;0;0;Brasil;Vinhos de Mesa
25;Camaroes;2009;0;0;Brasil;Vinhos de Mesa
26;Canada;2009;15664;73445;Brasil;Vinhos de Mesa
27;Catar;2009;0;0;Brasil;Vinhos de Mesa
28;Ilhas Cayman;2009;0;0;Brasil;Vinhos de Mesa
29;Chile;2009;1475;4297;Brasil;Vinhos de Mesa
30;China;2009;1553416;482400;Brasil;Vinhos de Mesa
31;Chipre;2009;0;0;Brasil;Vinhos de Mesa
32;Cingapura;2009;2419;6110;Brasil;Vinhos de Mesa
33;Ilhas Cocos (Keeling);2009;0;0;Brasil;Vinhos de Mesa
34;Colombia;2009;0;0;Brasil;Vinhos de Mesa
35;Comores;2009;0;0;Brasil;Vinhos de Mesa
36;Congo;2009;0;0;Brasil;Vinhos de Mesa
37;Coreia do Sul;2009;0;0;Brasil;Vinhos de Mesa
38;Costa do Marfim;2009;0;0;Brasil;Vinhos de Mesa
39;Costa Rica;2009;0;0;Brasil;Vinhos de Mesa
40;Croacia;2009;0;0;Brasil;Vinhos de Mesa
41;Cuba;2009;0;0;Brasil;Vinhos de Mesa
42;Curacao;2009;0;0;Brasil;Vinhos de Mesa
43;Dinamarca;2009;1980;21780;Brasil;Vinhos de Mesa
