     ;pais                               ;anos ;quantidade ;valor      ;origem ;tipo
   0 ;Afeganistao                        ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
   1 ;Africa do Sul                      ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
   2 ;Alemanha                           ;2009 ;  225086.0 ;  393482.0 ;Brasil ;Vinhos de Mesa
   3 ;Angola                             ;2009 ;   54786.0 ;   84235.0 ;Brasil ;Vinhos de Mesa
   4 ;Anguilla                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
   5 ;Antigua e Barbuda                  ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
   6 ;Antilhas Holandesas                ;2009 ;    8235.0 ;   10651.0 ;Brasil ;Vinhos de Mesa
   7 ;Arabia Saudita                     ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
   8 ;Argentina                          ;2009 ;     162.0 ;    4523.0 ;Brasil ;Vinhos de Mesa
   9 ;Aruba                              ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  10 ;Australia                          ;2009 ;    1014.0 ;    9195.0 ;Brasil ;Vinhos de Mesa
  11 ;Austria                            ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  12 ;Bahamas                            ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  13 ;Bangladesh                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  14 ;Barbados                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  15 ;Barein                             ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  16 ;Belgica                            ;2009 ;  125962.0 ;   58764.0 ;Brasil ;Vinhos de Mesa
  17 ;Belice                             ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  18 ;Benin                              ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  19 ;Bermudas                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  20 ;Bolivia                            ;2009 ;   40463.0 ;   20729.0 ;Brasil ;Vinhos de Mesa
  21 ;Bosnia-Herzegovina                 ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  22 ;Brasil                             ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  23 ;Bulgaria                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  24 ;Cabo Verde                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  25 ;Camaroes                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  26 ;Canada                             ;2009 ;   15664.0 ;   73445.0 ;Brasil ;Vinhos de Mesa
  27 ;Catar                              ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  28 ;Ilhas Cayman                       ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  29 ;Chile                              ;2009 ;    1475.0 ;    4297.0 ;Brasil ;Vinhos de Mesa
  30 ;China                              ;2009 ; 1553416.0 ;  482400.0 ;Brasil ;Vinhos de Mesa
  31 ;Chipre                             ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  32 ;Cingapura                          ;2009 ;    2419.0 ;    6110.0 ;Brasil ;Vinhos de Mesa
  33 ;Ilhas Cocos (Keeling)              ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  34 ;Colombia                           ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  35 ;Comores                            ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  36 ;Congo                              ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  37 ;Coreia do Sul                      ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  38 ;Costa do Marfim                    ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
  39 ;Costa Rica                         ;2009 ;       0.0 ;       0.0 ;Brasil ;Vinhos de Mesa
