;pais;anos;quantidade;valor;origem;tipo
0;Africa do Sul;2009;10381;42463;Brasil;Espumantes
1;Alemanha;2009;1170;8434;Brasil;Espumantes
2;Argentina;2009;894550;2730102;Brasil;Espumantes
3;Austrália;2009;225;2108;Brasil;Espumantes
4;Áustria;2009;0;0;Brasil;Espumantes
5;Bermudas;2009;0;0;Brasil;Espumantes
6;Bahamas;2009;0;0;Brasil;Espumantes
7;Bélgica;2009;0;0;Brasil;Espumantes
8;Brasil;2009;0;0;Brasil;Espumantes
9;Bulgária;2009;0;0;Brasil;Espumantes
10;Canada;2009;0;0;Brasil;Espumantes
11;Chile;2009;39533;165731;Brasil;Espumantes
12;Croácia;2009;0;0;Brasil;Espumantes
13;Cuba;2009;0;0;Brasil;Espumantes
14;Emirados Árabes Unidos;2009;0;0;Brasil;Espumantes
15;Eslovênia;2009;0;0;Brasil;Espumantes
16;Espanha;2009;388452;1397582;Brasil;Espumantes
17;Estados Unidos;2009;7119;25952;Brasil;Espumantes
18;França;2009;1130768;11933677;Brasil;Espumantes
19;Geórgia;2009;0;0;Brasil;Espumantes
20;Granada;2009;0;0;Brasil;Espumantes
21;Grécia;2009;0;0;Brasil;Espumantes
22;Hong Kong;2009;0;0;Brasil;Espumantes
23;Hungria;2009;0;0;Brasil;Espumantes
24;Indonésia;2009;0;0;Brasil;Espumantes
25;Irlanda;2009;0;0;Brasil;Espumantes
26;Israel;2009;0;0;Brasil;Espumantes
27;Itália;2009;693765;2984665;Brasil;Espumantes
28;Luxemburgo;2009;0;0;Brasil;Espumantes
29;México;2009;0;0;Brasil;Espumantes
30;Moldávia;2009;0;0;Brasil;Espumantes
31;Nova Zelândia;2009;630;5106;Brasil;Espumantes
32;Países Baixos;2009;0;0;Brasil;Espumantes
33;Panamá;2009;0;0;Brasil;Espumantes
34;Peru;2009;0;0;Brasil;Espumantes
35;Portugal;2009;31170;164404;Brasil;Espumantes
36;Reino Unido;2009;0;0;Brasil;Espumantes
37;Romênia;2009;0;0;Brasil;Espumantes
38;Suíça;2009;0;0;Brasil;Espumantes
39;Tunísia;2009;0;0;Brasil;Espumantes
40;Ucrânia;2009;0;0;Brasil;Espumantes
41;Uruguai;2009;900;10200;Brasil;Espumantes
42;Não consta na tabela;2009;0;0;Brasil;Espumantes
43;Não declarados;2009;0;0;Brasil;Espumantes
44;Outros;2009;972;2665;Brasil;Espumantes
45;Africa do Sul;2010;8121;37035;Brasil;Espumantes
46;Alemanha;2010;1116;5753;Brasil;Espumantes
47;Argentina;2010;1086901;3583463;Brasil;Espumantes
48;Austrália;2010;0;0;Brasil;Espumantes
49;Áustria;2010;0;0;Brasil;Espumantes
50;Bermudas;2010;0;0;Brasil;Espumantes
51;Bahamas;2010;0;0;Brasil;Espumantes
52;Bélgica;2010;0;0;Brasil;Espumantes
53;Brasil;2010;468;62570;Brasil;Espumantes
54;Bulgária;2010;0;0;Brasil;Espumantes
55;Canada;2010;0;0;Brasil;Espumantes
56;Chile;2010;68562;243004;Brasil;Espumantes
57;Croácia;2010;0;0;Brasil;Espumantes
58;Cuba;2010;0;0;Brasil;Espumantes
59;Emirados Árabes Unidos;2010;0;0;Brasil;Espumantes
60;Eslovênia;2010;0;0;Brasil;Espumantes
61;Espanha;2010;512539;1904476;Brasil;Espumantes
62;Estados Unidos;2010;11387;49664;Brasil;Espumantes
63;França;2010;1462949;17012302;Brasil;Espumantes
64;Geórgia;2010;0;0;Brasil;Espumantes
65;Granada;2010;0;0;Brasil;Espumantes
66;Grécia;2010;0;0;Brasil;Espumantes
67;Hong Kong;2010;0;0;Brasil;Espumantes
68;Hungria;2010;0;0;Brasil;Espumantes
69;Indonésia;2010;0;0;Brasil;Espumantes
70;Irlanda;2010;0;0;Brasil;Espumantes
71;Israel;2010;1224;5467;Brasil;Espumantes
72;Itália;2010;1079836;4703738;Brasil;Espumantes
73;Luxemburgo;2010;0;0;Brasil;Espumantes
74;México;2010;396;834;Brasil;Espumantes
75;Moldávia;2010;0;0;Brasil;Espumantes
76;Nova Zelândia;2010;720;6858;Brasil;Espumantes
77;Países Baixos;2010;0;0;Brasil;Espumantes
78;Panamá;2010;0;0;Brasil;Espumantes
79;Peru;2010;0;0;Brasil;Espumantes
80;Portugal;2010;74184;326868;Brasil;Espumantes
81;Reino Unido;2010;0;0;Brasil;Espumantes
82;Romênia;2010;0;0;Brasil;Espumantes
83;Suíça;2010;0;0;Brasil;Espumantes
84;Tunísia;2010;0;0;Brasil;Espumantes
85;Ucrânia;2010;0;0;Brasil;Espumantes
86;Uruguai;2010;5850;19080;Brasil;Espumantes
87;Não consta na tabela;2010;0;0;Brasil;Espumantes
88;Não declarados;2010;0;0;Brasil;Espumantes
89;Outros;2010;0;0;Brasil;Espumantes
90;Africa do Sul;2011;20213;123099;Brasil;Espumantes
91;Alemanha;2011;810;8800;Brasil;Espumantes
92;Argentina;2011;997492;3818944;Brasil;Espumantes
93;Austrália;2011;45;174;Brasil;Espumantes
94;Áustria;2011;0;0;Brasil;Espumantes
95;Bermudas;2011;0;0;Brasil;Espumantes
96;Bahamas;2011;0;0;Brasil;Espumantes
97;Bélgica;2011;0;0;Brasil;Espumantes
98;Brasil;2011;6210;52984;Brasil;Espumantes
99;Bulgária;2011;0;0;Brasil;Espumantes
100;Canada;2011;0;0;Brasil;Espumantes
101;Chile;2011;66639;248691;Brasil;Espumantes
102;Croácia;2011;0;0;Brasil;Espumantes
103;Cuba;2011;0;0;Brasil;Espumantes
104;Emirados Árabes Unidos;2011;0;0;Brasil;Espumantes
105;Eslovênia;2011;0;0;Brasil;Espumantes
106;Espanha;2011;831585;3017324;Brasil;Espumantes
107;Estados Unidos;2011;4553;15458;Brasil;Espumantes
108;França;2011;1802575;20020633;Brasil;Espumantes
109;Geórgia;2011;0;0;Brasil;Espumantes
110;Granada;2011;0;0;Brasil;Espumantes
111;Grécia;2011;0;0;Brasil;Espumantes
112;Hong Kong;2011;0;0;Brasil;Espumantes
113;Hungria;2011;0;0;Brasil;Espumantes
114;Indonésia;2011;0;0;Brasil;Espumantes
115;Irlanda;2011;0;0;Brasil;Espumantes
116;Israel;2011;990;11627;Brasil;Espumantes
117;Itália;2011;1137610;4966429;Brasil;Espumantes
118;Luxemburgo;2011;0;0;Brasil;Espumantes
119;México;2011;0;0;Brasil;Espumantes
120;Moldávia;2011;0;0;Brasil;Espumantes
121;Nova Zelândia;2011;135;861;Brasil;Espumantes
122;Países Baixos;2011;0;0;Brasil;Espumantes
123;Panamá;2011;0;0;Brasil;Espumantes
124;Peru;2011;0;0;Brasil;Espumantes
125;Portugal;2011;53756;317547;Brasil;Espumantes
126;Reino Unido;2011;0;0;Brasil;Espumantes
127;Romênia;2011;0;0;Brasil;Espumantes
128;Suíça;2011;0;0;Brasil;Espumantes
129;Tunísia;2011;870;2091;Brasil;Espumantes
130;Ucrânia;2011;0;0;Brasil;Espumantes
131;Uruguai;2011;135;932;Brasil;Espumantes
132;Não consta na tabela;2011;0;0;Brasil;Espumantes
133;Não declarados;2011;0;0;Brasil;Espumantes
134;Outros;2011;0;0;Brasil;Espumantes
135;Africa do Sul;2012;24954;133975;Brasil;Espumantes
136;Alemanha;2012;1260;9975;Brasil;Espumantes
137;Argentina;2012;963574;3985004;Brasil;Espumantes
138;Austrália;2012;0;0;Brasil;Espumantes
139;Áustria;2012;180;1139;Brasil;Espumantes
140;Bermudas;2012;0;0;Brasil;Espumantes
141;Bahamas;2012;0;0;Brasil;Espumantes
142;Bélgica;2012;0;0;Brasil;Espumantes
143;Brasil;2012;60601;313190;Brasil;Espumantes
144;Bulgária;2012;0;0;Brasil;Espumantes
145;Canada;2012;0;0;Brasil;Espumantes
146;Chile;2012;137790;484791;Brasil;Espumantes
147;Croácia;2012;0;0;Brasil;Espumantes
148;Cuba;2012;0;0;Brasil;Espumantes
149;Emirados Árabes Unidos;2012;0;0;Brasil;Espumantes
150;Eslovênia;2012;78;221;Brasil;Espumantes
151;Espanha;2012;1054367;4537094;Brasil;Espumantes
152;Estados Unidos;2012;15461;88292;Brasil;Espumantes
153;França;2012;1852431;22744192;Brasil;Espumantes
154;Geórgia;2012;0;0;Brasil;Espumantes
155;Granada;2012;0;0;Brasil;Espumantes
156;Grécia;2012;0;0;Brasil;Espumantes
157;Hong Kong;2012;2607;15170;Brasil;Espumantes
158;Hungria;2012;404;1317;Brasil;Espumantes
159;Indonésia;2012;0;0;Brasil;Espumantes
160;Irlanda;2012;0;0;Brasil;Espumantes
161;Israel;2012;310;6552;Brasil;Espumantes
162;Itália;2012;1123066;4953550;Brasil;Espumantes
163;Luxemburgo;2012;252;1115;Brasil;Espumantes
164;México;2012;0;0;Brasil;Espumantes
165;Moldávia;2012;0;0;Brasil;Espumantes
166;Nova Zelândia;2012;270;3046;Brasil;Espumantes
167;Países Baixos;2012;0;0;Brasil;Espumantes
168;Panamá;2012;0;0;Brasil;Espumantes
169;Peru;2012;0;0;Brasil;Espumantes
170;Portugal;2012;77260;382541;Brasil;Espumantes
171;Reino Unido;2012;0;0;Brasil;Espumantes
172;Romênia;2012;0;0;Brasil;Espumantes
173;Suíça;2012;0;0;Brasil;Espumantes
174;Tunísia;2012;1988;4035;Brasil;Espumantes
175;Ucrânia;2012;0;0;Brasil;Espumantes
176;Uruguai;2012;87;600;Brasil;Espumantes
177;Não consta na tabela;2012;0;0;Brasil;Espumantes
178;Não declarados;2012;0;0;Brasil;Espumantes
179;Outros;2012;0;0;Brasil;Espumantes
180;Africa do Sul;2013;26985;158325;Brasil;Espumantes
181;Alemanha;2013;1247;11745;Brasil;Espumantes
182;Argentina;2013;702963;2545215;Brasil;Espumantes
