;pais;anos;quantidade;valor;origem;tipo
0;Africa do Sul;2009;11839;9400;Brasil;Suco de Uva
1;Alemanha;2009;0;0;Brasil;Suco de Uva
2;Argentina;2009;0;0;Brasil;Suco de Uva
3;Austria;2009;0;0;Brasil;Suco de Uva
4;Canadá;2009;0;0;Brasil;Suco de Uva
5;Coreia do Sul, República;2009;16661;17249;Brasil;Suco de Uva
6;Coreia do Norte, República;2009;0;0;Brasil;Suco de Uva
7;Chile;2009;0;0;Brasil;Suco de Uva
8;China;2009;0;0;Brasil;Suco de Uva
9;Dinamarca;2009;0;0;Brasil;Suco de Uva
10;Espanha;2009;0;0;Brasil;Suco de Uva
11;Estados Unidos;2009;13178;24066;Brasil;Suco de Uva
12;França;2009;0;0;Brasil;Suco de Uva
13;Guiana;2009;0;0;Brasil;Suco de Uva
14;Israel;2009;900;1783;Brasil;Suco de Uva
15;itália;2009;0;0;Brasil;Suco de Uva
16;Japão;2009;0;0;Brasil;Suco de Uva
17;Líbano;2009;0;0;Brasil;Suco de Uva
18;México;2009;0;0;Brasil;Suco de Uva
19;Países Baixos;2009;0;0;Brasil;Suco de Uva
20;Panamá;2009;0;0;Brasil;Suco de Uva
21;Peru;2009;0;0;Brasil;Suco de Uva
22;Portugal;2009;0;0;Brasil;Suco de Uva
23;Reino Unido;2009;0;0;Brasil;Suco de Uva
24;Taiwan;2009;0;0;Brasil;Suco de Uva
25;Turquia;2009;0;0;Brasil;Suco de Uva
26;Uruguai;2009;0;0;Brasil;Suco de Uva
27;Venezuela;2009;0;0;Brasil;Suco de Uva
28;Outros;2009;0;0;Brasil;Suco de Uva
29;Africa do Sul;2010;37353;31729;Brasil;Suco de Uva
30;Alemanha;2010;0;0;Brasil;Suco de Uva
31;Argentina;2010;108000;138240;Brasil;Suco de Uva
32;Austria;2010;0;0;Brasil;Suco de Uva
33;Canadá;2010;0;0;Brasil;Suco de Uva
34;Coreia do Sul, República;2010;15080;18097;Brasil;Suco de Uva
35;Coreia do Norte, República;2010;0;0;Brasil;Suco de Uva
36;Chile;2010;1015000;3003445;Brasil;Suco de Uva
37;China;2010;0;0;Brasil;Suco de Uva
38;Dinamarca;2010;0;0;Brasil;Suco de Uva
39;Espanha;2010;0;0;Brasil;Suco de Uva
40;Estados Unidos;2010;10657;17793;Brasil;Suco de Uva
