;pais;anos;quantidade;valor;origem;tipo
0;Argélia;2009;0;0;Brasil;Uvas Frescas
1;Argentina;2009;7453027;8062155;Brasil;Uvas Frescas
2;Brasil;2009;0;0;Brasil;Uvas Frescas
3;Chile;2009;10846054;12828213;Brasil;Uvas Frescas
4;Colômbia;2009;0;0;Brasil;Uvas Frescas
5;Egito;2009;0;0;Brasil;Uvas Frescas
6;Espanha;2009;124345;253794;Brasil;Uvas Frescas
7;Estados Unidos;2009;120861;283233;Brasil;Uvas Frescas
8;Grécia;2009;0;0;Brasil;Uvas Frescas
9;Itália;2009;14439;40411;Brasil;Uvas Frescas
10;México;2009;31200;93644;Brasil;Uvas Frescas
11;Peru;2009;75550;135846;Brasil;Uvas Frescas
12;Paraguai;2009;0;0;Brasil;Uvas Frescas
13;Portugal;2009;0;0;Brasil;Uvas Frescas
14;Panamá;2009;0;0;Brasil;Uvas Frescas
15;Reino Unido;2009;0;0;Brasil;Uvas Frescas
16;Uruguai;2009;0;0;Brasil;Uvas Frescas
17;Venezuela;2009;0;0;Brasil;Uvas Frescas
18;Não consta na tabela;2009;0;0;Brasil;Uvas Frescas
19;Outros;2009;0;0;Brasil;Uvas Frescas
20;Argélia;2010;0;0;Brasil;Uvas Frescas
21;Argentina;2010;11559264;15926306;Brasil;Uvas Frescas
22;Brasil;2010;0;0;Brasil;Uvas Frescas
23;Chile;2010;11806542;17019296;Brasil;Uvas Frescas
24;Colômbia;2010;0;0;Brasil;Uvas Frescas
25;Egito;2010;0;0;Brasil;Uvas Frescas
26;Espanha;2010;212463;325707;Brasil;Uvas Frescas
27;Estados Unidos;2010;89492;241211;Brasil;Uvas Frescas
28;Grécia;2010;0;0;Brasil;Uvas Frescas
29;Itália;2010;190141;438972;Brasil;Uvas Frescas
30;México;2010;432639;1025498;Brasil;Uvas Frescas
31;Peru;2010;504154;1097870;Brasil;Uvas Frescas
32;Paraguai;2010;0;0;Brasil;Uvas Frescas
33;Portugal;2010;0;0;Brasil;Uvas Frescas
34;Panamá;2010;0;0;Brasil;Uvas Frescas
35;Reino Unido;2010;0;0;Brasil;Uvas Frescas
36;Uruguai;2010;0;0;Brasil;Uvas Frescas
37;Venezuela;2010;0;0;Brasil;Uvas Frescas
38;Não consta na tabela;2010;0;0;Brasil;Uvas Frescas
39;Outros;2010;0;0;Brasil;Uvas Frescas
40;Argélia;2011;0;0;Brasil;Uvas Frescas
41;Argentina;2011;13438557;19759895;Brasil;Uvas Frescas
42;Brasil;2011;0;0;Brasil;Uvas Frescas
43;Chile;2011;18620819;27472449;Brasil;Uvas Frescas
44;Colômbia;2011;0;0;Brasil;Uvas Frescas
45;Egito;2011;0;0;Brasil;Uvas Frescas
46;Espanha;2011;993310;1894982;Brasil;Uvas Frescas
47;Estados Unidos;2011;3265;16288;Brasil;Uvas Frescas
48;Grécia;2011;0;0;Brasil;Uvas Frescas
49;Itália;2011;552911;1045123;Brasil;Uvas Frescas
50;México;2011;233856;601883;Brasil;Uvas Frescas
51;Peru;2011;240389;580014;Brasil;Uvas Frescas
52;Paraguai;2011;0;0;Brasil;Uvas Frescas
53;Portugal;2011;0;0;Brasil;Uvas Frescas
54;Panamá;2011;0;0;Brasil;Uvas Frescas
55;Reino Unido;2011;0;0;Brasil;Uvas Frescas
56;Uruguai;2011;0;0;Brasil;Uvas Frescas
57;Venezuela;2011;0;0;Brasil;Uvas Frescas
58;Não consta na tabela;2011;0;0;Brasil;Uvas Frescas
59;Outros;2011;0;0;Brasil;Uvas Frescas
60;Argélia;2012;0;0;Brasil;Uvas Frescas
61;Argentina;2012;8714800;13595978;Brasil;Uvas Frescas
62;Brasil;2012;14612;37412;Brasil;Uvas Frescas
63;Chile;2012;22385291;36393910;Brasil;Uvas Frescas
64;Colômbia;2012;0;0;Brasil;Uvas Frescas
65;Egito;2012;0;0;Brasil;Uvas Frescas
66;Espanha;2012;393387;679189;Brasil;Uvas Frescas
67;Estados Unidos;2012;32458;85451;Brasil;Uvas Frescas
68;Grécia;2012;0;0;Brasil;Uvas Frescas
69;Itália;2012;1154322;2161324;Brasil;Uvas Frescas
70;México;2012;173184;388467;Brasil;Uvas Frescas
71;Peru;2012;426468;1040103;Brasil;Uvas Frescas
72;Paraguai;2012;0;0;Brasil;Uvas Frescas
73;Portugal;2012;0;0;Brasil;Uvas Frescas
74;Panamá;2012;0;0;Brasil;Uvas Frescas
75;Reino Unido;2012;0;0;Brasil;Uvas Frescas
76;Uruguai;2012;0;0;Brasil;Uvas Frescas
77;Venezuela;2012;0;0;Brasil;Uvas Frescas
78;Não consta na tabela;2012;0;0;Brasil;Uvas Frescas
79;Outros;2012;0;0;Brasil;Uvas Frescas
80;Argélia;2013;0;0;Brasil;Uvas Frescas
81;Argentina;2013;5810559;10558621;Brasil;Uvas Frescas
82;Brasil;2013;0;0;Brasil;Uvas Frescas
83;Chile;2013;24392313;43466944;Brasil;Uvas Frescas
84;Colômbia;2013;0;0;Brasil;Uvas Frescas
85;Egito;2013;0;0;Brasil;Uvas Frescas
86;Espanha;2013;246827;505467;Brasil;Uvas Frescas
87;Estados Unidos;2013;80518;205104;Brasil;Uvas Frescas
88;Grécia;2013;0;0;Brasil;Uvas Frescas
89;Itália;2013;1073920;2303222;Brasil;Uvas Frescas
90;México;2013;298656;742610;Brasil;Uvas Frescas
91;Peru;2013;728022;1798788;Brasil;Uvas Frescas
92;Paraguai;2013;0;0;Brasil;Uvas Frescas
93;Portugal;2013;0;0;Brasil;Uvas Frescas
94;Panamá;2013;0;0;Brasil;Uvas Frescas
95;Reino Unido;2013;0;0;Brasil;Uvas Frescas
96;Uruguai;2013;0;0;Brasil;Uvas Frescas
97;Venezuela;2013;0;0;Brasil;Uvas Frescas
98;Não consta na tabela;2013;0;0;Brasil;Uvas Frescas
99;Outros;2013;0;0;Brasil;Uvas Frescas
100;Argélia;2014;0;0;Brasil;Uvas Frescas
101;Argentina;2014;2758211;4852008;Brasil;Uvas Frescas
102;Brasil;2014;0;0;Brasil;Uvas Frescas
103;Chile;2014;25952434;47301298;Brasil;Uvas Frescas
104;Colômbia;2014;0;0;Brasil;Uvas Frescas
105;Egito;2014;0;0;Brasil;Uvas Frescas
106;Espanha;2014;401281;716423;Brasil;Uvas Frescas
107;Estados Unidos;2014;50811;166753;Brasil;Uvas Frescas
