;pais;anos;quantidade;valor;origem;tipo
0;Africa do Sul;2009;493093.0;1931449.0;Brasil;Vinhos
1;Alemanha;2009;56075.0;291876.0;Brasil;Vinhos
2;Argélia;2009;0.0;0.0;Brasil;Vinhos
3;Arábia Saudita;2009;0.0;0.0;Brasil;Vinhos
4;Argentina;2009;13902750.0;38521731.0;Brasil;Vinhos
5;Armênia;2009;0.0;0.0;Brasil;Vinhos
6;Austrália;2009;270908.0;998680.0;Brasil;Vinhos
7;Áustria;2009;1895.0;12073.0;Brasil;Vinhos
8;Bermudas;2009;0.0;0.0;Brasil;Vinhos
9;Bélgica;2009;0.0;0.0;Brasil;Vinhos
10;Bolívia;2009;0.0;0.0;Brasil;Vinhos
11;Bósnia-Herzegovina;2009;0.0;0.0;Brasil;Vinhos
12;Brasil;2009;0.0;0.0;Brasil;Vinhos
13;Bulgária;2009;0.0;0.0;Brasil;Vinhos
14;Canada;2009;0.0;0.0;Brasil;Vinhos
15;Chile;2009;22476643.0;61380795.0;Brasil;Vinhos
16;China;2009;0.0;0.0;Brasil;Vinhos
17;Coreia do Sul, República;2009;0.0;0.0;Brasil;Vinhos
18;Croácia;2009;0.0;0.0;Brasil;Vinhos
19;Cuba;2009;0.0;0.0;Brasil;Vinhos
20;Emirados Árabes Unidos;2009;0.0;0.0;Brasil;Vinhos
21;Eslovênia;2009;0.0;0.0;Brasil;Vinhos
22;Eslováquia;2009;0.0;0.0;Brasil;Vinhos
23;Espanha;2009;1119540.0;6224187.0;Brasil;Vinhos
24;Estados Unidos;2009;85393.0;702825.0;Brasil;Vinhos
25;França;2009;2372448.0;16893114.0;Brasil;Vinhos
26;Geórgia;2009;0.0;0.0;Brasil;Vinhos
27;Geórgia do Sul e Sandwich do Sul, Ilhas;2009;0.0;0.0;Brasil;Vinhos
28;Grécia;2009;52474.0;190076.0;Brasil;Vinhos
29;Hong Kong;2009;0.0;0.0;Brasil;Vinhos
30;Hungria;2009;12632.0;87626.0;Brasil;Vinhos
31;Indonésia;2009;0.0;0.0;Brasil;Vinhos
32;Irlanda;2009;0.0;0.0;Brasil;Vinhos
33;Israel;2009;8924.0;36534.0;Brasil;Vinhos
34;Itália;2009;8387908.0;23079424.0;Brasil;Vinhos
35;Japão;2009;0.0;0.0;Brasil;Vinhos
36;Iugoslávia;2009;0.0;0.0;Brasil;Vinhos
37;Líbano;2009;5310.0;34971.0;Brasil;Vinhos
38;Luxemburgo;2009;0.0;0.0;Brasil;Vinhos
39;Macedônia;2009;0.0;0.0;Brasil;Vinhos
40;Marrocos;2009;0.0;0.0;Brasil;Vinhos
41;México;2009;0.0;0.0;Brasil;Vinhos
42;Moldávia;2009;0.0;0.0;Brasil;Vinhos
43;Montenegro;2009;0.0;0.0;Brasil;Vinhos
44;Noruega;2009;0.0;0.0;Brasil;Vinhos
45;Nova Zelândia;2009;30806.0;302244.0;Brasil;Vinhos
46;Países Baixos (Holanda);2009;0.0;0.0;Brasil;Vinhos
47;Panamá;2009;0.0;0.0;Brasil;Vinhos
48;Peru;2009;0.0;0.0;Brasil;Vinhos
49;Porto Rico;2009;0.0;0.0;Brasil;Vinhos
50;Portugal;2009;5884719.0;23688318.0;Brasil;Vinhos
51;Reino Unido;2009;10236.0;53375.0;Brasil;Vinhos
52;Republica Dominicana;2009;0.0;0.0;Brasil;Vinhos
53;Romênia;2009;0.0;0.0;Brasil;Vinhos
54;Rússia;2009;0.0;0.0;Brasil;Vinhos
55;San Marino;2009;0.0;0.0;Brasil;Vinhos
56;Sérvia;2009;0.0;0.0;Brasil;Vinhos
57;Síria;2009;0.0;0.0;Brasil;Vinhos
58;Suazilândia;2009;0.0;0.0;Brasil;Vinhos
59;Suíça;2009;4860.0;13129.0;Brasil;Vinhos
60;República Tcheca;2009;0.0;0.0;Brasil;Vinhos
